Image,Dice PCA1,IoU PCA1,Dice PCA2,IoU PCA2,Dice PCA3,IoU PCA3,Dice PCA4,IoU PCA4,Dice PCA5,IoU PCA5
ISIC_0015133,0.4215799614643545,0.26708984375,0.4215799614643545,0.26708984375,0.4215799614643545,0.26708984375,0.4215799614643545,0.26708984375,0.4215799614643545,0.26708984375
ISIC_0014489,0.7262936080543199,0.5702205882352941,0.7262936080543199,0.5702205882352941,0.7262936080543199,0.5702205882352941,0.7262936080543199,0.5702205882352941,0.7262085918295681,0.5701157875390553
ISIC_0015960,0.12968099861303745,0.06933629959213941,0.12956868179456088,0.06927208742359696,0.1296510284261613,0.06931916471024342,0.12968099861303745,0.06933629959213941,0.1296510284261613,0.06931916471024342
ISIC_0014587,0.02099737532808399,0.010610079575596816,0.022453222453222454,0.011354079058031959,0.017933390264730998,0.00904782421370099,0.020278833967046894,0.010243277848911651,0.021367521367521368,0.01079913606911447
ISIC_0015466,0.7609305145108737,0.6141144814090019,0.7611182665353435,0.6143590998043053,0.7598710411530438,0.6127355028137998,0.7608835676126245,0.6140533268101761,0.7585185185185185,0.6109785202863962
ISIC_0014027,0.23354358725537766,0.1322102179088079,0.23354358725537766,0.1322102179088079,0.23355617856372654,0.13221828836527896,0.23355617856372654,0.13221828836527896,0.23354358725537766,0.1322102179088079
ISIC_0013953,0.2694705695868118,0.15571568148510015,0.26948480845442535,0.15572519083969466,0.2694705695868118,0.15571568148510015,0.26955602536997886,0.15577275503970678,0.26951329070443375,0.15574421303365296
ISIC_0015641,0.48772383237954586,0.322509765625,0.48772383237954586,0.322509765625,0.48772383237954586,0.322509765625,0.48772383237954586,0.322509765625,0.48772383237954586,0.322509765625
ISIC_0015526,0.1963761289965091,0.10887864823348695,0.19643055093670325,0.10891210817455439,0.19638701097196054,0.10888533857687108,0.19641966413567588,0.10890541454120828,0.19629998892212253,0.10883183884043729
ISIC_0013216,0.3578556509631005,0.21791972866026002,0.3871461361897475,0.24003795066413663,0.35651773376324275,0.21692825112107622,0.38095238095238093,0.23529411764705882,0.3811434302908726,0.23543990086741015
ISIC_0016033,0.1824501493993536,0.10038247332751794,0.18205050197748707,0.10014057165807617,0.18248353256891925,0.1004026845637584,0.18297455968688844,0.10070005385029618,0.18792789397650903,0.10370883882149047
ISIC_0014629,0.2209674792334003,0.12420654296875,0.2209674792334003,0.12420654296875,0.2209674792334003,0.12420654296875,0.2209674792334003,0.12420654296875,0.2209674792334003,0.12420654296875
ISIC_0014964,0.5804886501472881,0.408935546875,0.5804886501472881,0.408935546875,0.5804886501472881,0.408935546875,0.5804886501472881,0.408935546875,0.5804886501472881,0.408935546875
ISIC_0013459,0.3243774913288813,0.1935862580326248,0.324411079471913,0.1936101841552342,0.3243774913288813,0.1935862580326248,0.32432712215320914,0.19355037993451535,0.3243103359039387,0.19353842352359774
ISIC_0016029,0.1940480141608585,0.10744915461896594,0.19393001271490962,0.1073767982858892,0.1939514568474595,0.10738994673360681,0.1940587486861758,0.10745573730319181,0.19421670729005097,0.10755261058960672
ISIC_0014470,0.6482486433152442,0.47956204379562045,0.6417112299465241,0.47244094488188976,0.7165677772706527,0.5583214793741109,0.6394014962593516,0.46994134897360706,0.6378109452736318,0.46822498173849525
ISIC_0015034,0.25980235894166404,0.14929474262685474,0.25980235894166404,0.14929474262685474,0.25980235894166404,0.14929474262685474,0.25980235894166404,0.14929474262685474,0.25980235894166404,0.14929474262685474
ISIC_0013577,0.19189504697315027,0.10613048023119966,0.19189504697315027,0.10613048023119966,0.19189504697315027,0.10613048023119966,0.1917351699622306,0.106032682147684,0.19189504697315027,0.10613048023119966
ISIC_0014103,0.3415823974795467,0.20596886873391346,0.34163447855255136,0.20600674226172233,0.3415997560727716,0.2059814916957774,0.3405958654235914,0.20525190839694657,0.3411663198497691,0.20566638110390406
ISIC_0015311,0.6338697573584591,0.4639892578125,0.6338697573584591,0.4639892578125,0.6338697573584591,0.4639892578125,0.6338697573584591,0.4639892578125,0.6338697573584591,0.4639892578125
ISIC_0015353,0.20258064516129032,0.11270638908829864,0.20258064516129032,0.11270638908829864,0.20466613032984715,0.11399892453844775,0.20242130750605328,0.11260775862068965,0.2026602176541717,0.1127556512378902
ISIC_0012330,0.14198829079747627,0.07641948115516398,0.14199636198271942,0.0764241571314936,0.14198022052972603,0.07641480575099419,0.14220653535238528,0.07654593368879083,0.14211753996700233,0.07649436550710437
ISIC_0016027,0.01682503177389094,0.00848388671875,0.01682503177389094,0.00848388671875,0.01682503177389094,0.00848388671875,0.01682503177389094,0.00848388671875,0.01682503177389094,0.00848388671875
ISIC_0015139,0.6146619694682101,0.4436909663356745,0.6531853972798854,0.484985384002126,0.6542324246771879,0.4861407249466951,0.6301841335398383,0.4600502512562814,0.6143790849673203,0.44339622641509435
ISIC_0012708,0.12410858063031976,0.06615978907351769,0.6552188552188553,0.4872308462694041,0.12410858063031976,0.06615978907351769,0.12410144344125597,0.06615573267933783,0.12410858063031976,0.06615978907351769
